id,firstname,lastname,email,pwd,address,balance,is_seller
1,Olivia,Jack,Olivia@gmail.com,pbkdf2:sha256:260000$bfF2OrGLk3rczxHk$d94597ef54b32c1db5937bd830907c7331e4bc14f2930cd919955aaeb20f0aaf,"1 Duke Way, Durham NC 27705 ",1,Y
2,Emily,Oliver,Emily@gmail.com,pbkdf2:sha256:260000$eJUlxvvThQDzEZb1$687998b9fdfb0ca9cd1f850f1ac2719503ac918cf0ae29182741eff0a6d25705,"2 Duke Way, Durham NC 27705 ",2,Y
3,Isla,James,Isla@gmail.com,pbkdf2:sha256:260000$jfzDbPrrcWU94b0c$462514726cb25937137c1bce0743d6498c33f91a9ced066d5afc48e8aa1d3422,"3 Duke Way, Durham NC 27705 ",3,Y
4,Sophie,Charlie,Sophie@gmail.com,pbkdf2:sha256:260000$rCzlc5f6XZayv4KK$8503dc6c1a9d7baccf4460ec04b67ddb4b0aff916e6d515155b27a0fd06bac64,"4 Duke Way, Durham NC 27705 ",4,Y
5,Ella,Harris,Ella@gmail.com,pbkdf2:sha256:260000$wcHHne6PbdxgYaDX$1e70fcb8b7e0c6439000f89025e56593c7c05aabce680591656dcae0207c449e,"5 Duke Way, Durham NC 27705 ",5,Y
6,Ava,Lewis,Ava@gmail.com,pbkdf2:sha256:260000$fgBLacqIr2829Qtn$57ddd86730f4153b8d57b1211469d764f19b93d49cd71908f227fb618bba3f50,"6 Duke Way, Durham NC 27705 ",6,Y
7,Amelia,Leo,Amelia@gmail.com,pbkdf2:sha256:260000$1YmWwgM0vnYDVgTc$f0448cfaf8546122d4c2dcf28388a2c1ac0b5203ff3d3d6e3a709581f6ff96d8,"7 Duke Way, Durham NC 27705 ",7,Y
8,Grace,Noah,Grace@gmail.com,pbkdf2:sha256:260000$tYynQictk8m4PjZL$89e3e9bacf4043ba4349929fed9f1930326a085339b20f173adf24322de5880a,"8 Duke Way, Durham NC 27705 ",8,Y
9,Freya,Alfie,Freya@gmail.com,pbkdf2:sha256:260000$02EpL1u0LUEVdNJK$d8c3669a7d5f3018345b35ab9938cfc63d4654ec4b883b4560cf144a33fcc63a,"9 Duke Way, Durham NC 27705 ",9,Y
10,Charlotte,Rory,Charlotte@gmail.com,pbkdf2:sha256:260000$vJL3agQ7YFLuOS5I$2d562b5dc020d44f53e14960b3a50cc85df3f37832ec3dbb84d6002a471d4170,"10 Duke Way, Durham NC 27705 ",10,Y
11,Jessica,Alexander,Jessica@gmail.com,pbkdf2:sha256:260000$UiBzcFjiYizas0p9$c707c010b469f254ee7422e00cde69db657502b6fbd247e205b8cbfbe98c85f0,"11 Duke Way, Durham NC 27705 ",11,Y
12,Lucy,Max,Lucy@gmail.com,pbkdf2:sha256:260000$4l8EbKV0w0kRWwIH$2b457955d2fcd069097112acd2332debf8e68a0fc92150628908c54573d82e96,"12 Duke Way, Durham NC 27705 ",12,Y
13,Ellie,Logan,Ellie@gmail.com,pbkdf2:sha256:260000$GeqCzJ2KOo9QamLP$22c235b405f6d629d6016288189ecd37100b1a78f623dcab407b9a93f117b5bd,"13 Duke Way, Durham NC 27705 ",13,Y
